giorno,mese,attività_svolta,categoria,durata_in_ore,durata_forfetaria
2,9,"corso recupero classi 1e (1/6)",70,1.5000,0
3,9,"corso recupero classi 1e (2/6)",70,1.5000,0
4,9,"corso recupero classi 1e (3/6)",70,1.5000,0
5,9,"corso recupero classi 1e (4/6)",70,1.5000,0
8,9,"corso recupero classi 1e (5/6)",70,1.5000,0
9,9,"corso recupero classi 1e (6/6) - test",70,1.5000,0
3,11,"sostituzione 1uF (1)",40,1.0000,0
5,11,"sostituzione 5uD (2)",40,1.0000,0
10,11,"disposizione per sostituzione (3)",40,1.0000,0
10,11,"corso alfabetizzazione 1e (1/2)",70,2.0000,0
17,11,"sostituzione 4uE (4)",40,1.0000,0
17,11,"corso alfabetizzazione 1e (2/2)",70,2.0000,0
19,11,"sostituzione 1uE (5)",40,1.0000,0
24,11,"lezione 01 CLIL 2uE (geografia) con Brighenti",70,1.0000,0
26,11,"sostituzione 2uA (6)",40,1.0000,0
2,12,"lezioni 02 e 03 CLIL 2uE (geografia) con Brighenti",70,2.0000,0
9,12,"lezioni 04 e 05 CLIL 2uE (geografia) con Brighenti",70,2.0000,0
15,12,"lezione 06 CLIL 2uE (geografia) con Brighenti",70,1.0000,0
16,12,"lezione 07 CLIL 2uE (geografia) con Brighenti",70,1.0000,0
17,12,"test recupero carenza (2uE)",40,1.0000,0
19,12,"lezione 08 CLIL 2uE (geografia) con Brighenti",70,1.0000,0
22,12,"lezione 09 CLIL 2uE (geografia) con Brighenti",70,1.0000,0
21,1,"sostituzione 2uG (7)",40,1.0000,0
11,2,"sostituzione 2uE (8)",40,1.0000,0
11,2,"sostituzione 1uE (9)",40,1.0000,0
23,2,"progetto multidisciplinare (incontro con esperto)",40,3.0000,0
23,2,"uscita presso centro Anffas - progetto multidisciplinare",70,2.0000,0
25,2,"lezione 3uE per progetto multidisciplinare",70,1.0000,0
26,2,"lezione 3uE per progetto multidisciplinare (laboratorio)",40,1.0000,0
26,2,"uscita presso Alisei - progetto multidisciplinare",70,2.0000,0
27,2,"lezione 3uE per progetto multidisciplinare (blog)",40,2.0000,0
13,3,"sostituzione 2uE (10)",40,1.0000,0
24,4,"sostituzione 3uD (11)",40,1.0000,0
13,5,"sportello in Centro autoapprendimento",40,2.0000,0
